snapshot_date,sku,category,location_id,day_key,week_key,month_key,qty_sold,promo_flag,price,qty_on_hand,qty_in_transit,qty_reserved,supplier_key,lead_time_days,moq_units,reorder_cycle_days,days_of_supply,reorder_point
7/29/2025,LEVEL-FLAT-1001,Consumable Goods,1,1/1/2022,,,73,,,,,,,,,,,
7/29/2025,LEVEL-FLAT-1001,Consumable Goods,1,1/2/2022,,,68,,,,,,,,,,,
7/29/2025,LEVEL-FLAT-1001,Consumable Goods,1,1/3/2022,,,68,,,,,,,,,,,
7/29/2025,LEVEL-FLAT-1001,Consumable Goods,1,1/4/2022,,,70,,,,,,,,,,,
7/29/2025,LEVEL-FLAT-1001,Consumable Goods,1,1/5/2022,,,72,,,,,,,,,,,
7/29/2025,LEVEL-FLAT-1001,Consumable Goods,1,1/6/2022,,,71,,,,,,,,,,,
7/29/2025,LEVEL-FLAT-1001,Consumable Goods,1,1/7/2022,,,71,,,,,,,,,,,
7/29/2025,LEVEL-FLAT-1001,Consumable Goods,1,1/8/2022,,,72,,,,,,,,,,,
7/29/2025,LEVEL-FLAT-1001,Consumable Goods,1,1/9/2022,,,69,,,,,,,,,,,
7/29/2025,LEVEL-FLAT-1001,Consumable Goods,1,1/10/2022,,,68,,,,,,,,,,,
7/29/2025,LEVEL-FLAT-1001,Consumable Goods,1,1/11/2022,,,70,,,,,,,,,,,
7/29/2025,LEVEL-FLAT-1001,Consumable Goods,1,1/12/2022,,,72,,,,,,,,,,,
7/29/2025,LEVEL-FLAT-1001,Consumable Goods,1,1/13/2022,,,72,,,,,,,,,,,
7/29/2025,LEVEL-FLAT-1001,Consumable Goods,1,1/14/2022,,,68,,,,,,,,,,,
7/29/2025,LEVEL-FLAT-1001,Consumable Goods,1,1/15/2022,,,73,,,,,,,,,,,
7/29/2025,LEVEL-FLAT-1001,Consumable Goods,1,1/16/2022,,,64,,,,,,,,,,,
7/29/2025,LEVEL-FLAT-1001,Consumable Goods,1,1/17/2022,,,70,,,,,,,,,,,
7/29/2025,LEVEL-FLAT-1001,Consumable Goods,1,1/18/2022,,,70,,,,,,,,,,,
7/29/2025,LEVEL-FLAT-1001,Consumable Goods,1,1/19/2022,,,67,,,,,,,,,,,
7/29/2025,LEVEL-FLAT-1001,Consumable Goods,1,1/20/2022,,,71,,,,,,,,,,,
7/29/2025,LEVEL-FLAT-1001,Consumable Goods,1,1/21/2022,,,71,,,,,,,,,,,
7/29/2025,LEVEL-FLAT-1001,Consumable Goods,1,1/22/2022,,,70,,,,,,,,,,,
7/29/2025,LEVEL-FLAT-1001,Consumable Goods,1,1/23/2022,,,68,,,,,,,,,,,
7/29/2025,LEVEL-FLAT-1001,Consumable Goods,1,1/24/2022,,,67,,,,,,,,,,,
7/29/2025,LEVEL-FLAT-1001,Consumable Goods,1,1/25/2022,,,72,,,,,,,,,,,
7/29/2025,LEVEL-FLAT-1001,Consumable Goods,1,1/26/2022,,,67,,,,,,,,,,,
7/29/2025,LEVEL-FLAT-1001,Consumable Goods,1,1/27/2022,,,68,,,,,,,,,,,
7/29/2025,LEVEL-FLAT-1001,Consumable Goods,1,1/28/2022,,,71,,,,,,,,,,,
7/29/2025,LEVEL-FLAT-1001,Consumable Goods,1,1/29/2022,,,71,,,,,,,,,,,
7/29/2025,LEVEL-FLAT-1001,Consumable Goods,1,1/30/2022,,,71,,,,,,,,,,,
7/29/2025,LEVEL-FLAT-1001,Consumable Goods,1,1/31/2022,,,68,,,,,,,,,,,
7/29/2025,LEVEL-FLAT-1001,Consumable Goods,1,2/1/2022,,,71,,,,,,,,,,,
7/29/2025,LEVEL-FLAT-1001,Consumable Goods,1,2/2/2022,,,68,,,,,,,,,,,
7/29/2025,LEVEL-FLAT-1001,Consumable Goods,1,2/3/2022,,,71,,,,,,,,,,,
7/29/2025,LEVEL-FLAT-1001,Consumable Goods,1,2/4/2022,,,69,,,,,,,,,,,
7/29/2025,LEVEL-FLAT-1001,Consumable Goods,1,2/5/2022,,,71,,,,,,,,,,,
7/29/2025,LEVEL-FLAT-1001,Consumable Goods,1,2/6/2022,,,70,,,,,,,,,,,
7/29/2025,LEVEL-FLAT-1001,Consumable Goods,1,2/7/2022,,,67,,,,,,,,,,,
7/29/2025,LEVEL-FLAT-1001,Consumable Goods,1,2/8/2022,,,69,,,,,,,,,,,
7/29/2025,LEVEL-FLAT-1001,Consumable Goods,1,2/9/2022,,,69,,,,,,,,,,,
7/29/2025,LEVEL-FLAT-1001,Consumable Goods,1,2/10/2022,,,68,,,,,,,,,,,
7/29/2025,LEVEL-FLAT-1001,Consumable Goods,1,2/11/2022,,,69,,,,,,,,,,,
7/29/2025,LEVEL-FLAT-1001,Consumable Goods,1,2/12/2022,,,73,,,,,,,,,,,
7/29/2025,LEVEL-FLAT-1001,Consumable Goods,1,2/13/2022,,,72,,,,,,,,,,,
7/29/2025,LEVEL-FLAT-1001,Consumable Goods,1,2/14/2022,,,71,,,,,,,,,,,
7/29/2025,LEVEL-FLAT-1001,Consumable Goods,1,2/15/2022,,,77,,,,,,,,,,,
7/29/2025,LEVEL-FLAT-1001,Consumable Goods,1,2/16/2022,,,69,,,,,,,,,,,
7/29/2025,LEVEL-FLAT-1001,Consumable Goods,1,2/17/2022,,,67,,,,,,,,,,,
7/29/2025,LEVEL-FLAT-1001,Consumable Goods,1,2/18/2022,,,69,,,,,,,,,,,
7/29/2025,LEVEL-FLAT-1001,Consumable Goods,1,2/19/2022,,,68,,,,,,,,,,,
7/29/2025,LEVEL-FLAT-1001,Consumable Goods,1,2/20/2022,,,70,,,,,,,,,,,
7/29/2025,LEVEL-FLAT-1001,Consumable Goods,1,2/21/2022,,,72,,,,,,,,,,,
7/29/2025,LEVEL-FLAT-1001,Consumable Goods,1,2/22/2022,,,70,,,,,,,,,,,
7/29/2025,LEVEL-FLAT-1001,Consumable Goods,1,2/23/2022,,,71,,,,,,,,,,,
7/29/2025,LEVEL-FLAT-1001,Consumable Goods,1,2/24/2022,,,72,,,,,,,,,,,
7/29/2025,LEVEL-FLAT-1001,Consumable Goods,1,2/25/2022,,,69,,,,,,,,,,,
7/29/2025,LEVEL-FLAT-1001,Consumable Goods,1,2/26/2022,,,71,,,,,,,,,,,
7/29/2025,LEVEL-FLAT-1001,Consumable Goods,1,2/27/2022,,,69,,,,,,,,,,,
7/29/2025,LEVEL-FLAT-1001,Consumable Goods,1,2/28/2022,,,69,,,,,,,,,,,
7/29/2025,LEVEL-FLAT-1001,Consumable Goods,1,3/1/2022,,,72,,,,,,,,,,,
7/29/2025,LEVEL-FLAT-1001,Consumable Goods,1,3/2/2022,,,71,,,,,,,,,,,
7/29/2025,LEVEL-FLAT-1001,Consumable Goods,1,3/3/2022,,,73,,,,,,,,,,,
7/29/2025,LEVEL-FLAT-1001,Consumable Goods,1,3/4/2022,,,68,,,,,,,,,,,
7/29/2025,LEVEL-FLAT-1001,Consumable Goods,1,3/5/2022,,,70,,,,,,,,,,,
7/29/2025,LEVEL-FLAT-1001,Consumable Goods,1,3/6/2022,,,69,,,,,,,,,,,
7/29/2025,LEVEL-FLAT-1001,Consumable Goods,1,3/7/2022,,,66,,,,,,,,,,,
7/29/2025,LEVEL-FLAT-1001,Consumable Goods,1,3/8/2022,,,66,,,,,,,,,,,
7/29/2025,LEVEL-FLAT-1001,Consumable Goods,1,3/9/2022,,,71,,,,,,,,,,,
7/29/2025,LEVEL-FLAT-1001,Consumable Goods,1,3/10/2022,,,71,,,,,,,,,,,
7/29/2025,LEVEL-FLAT-1001,Consumable Goods,1,3/11/2022,,,71,,,,,,,,,,,
7/29/2025,LEVEL-FLAT-1001,Consumable Goods,1,3/12/2022,,,70,,,,,,,,,,,
7/29/2025,LEVEL-FLAT-1001,Consumable Goods,1,3/13/2022,,,71,,,,,,,,,,,
7/29/2025,LEVEL-FLAT-1001,Consumable Goods,1,3/14/2022,,,74,,,,,,,,,,,
